Year,Country,Region,Age,Sex,Method of suicide,GeoCode,Value
2009.0,,,60 to 64,Female,,,5.3
2009.0,,,65 to 69,Female,,,4.5
2009.0,,,70 to 74,Female,,,3.8
2009.0,,,75 to 79,Female,,,4.5
2009.0,,,80 to 84,Female,,,4.9
2009.0,,,85 and over,Female,,,5
2009.0,England and Wales,,15 to 19,,,K04000001,3.7
2009.0,England and Wales,,20 to 24,,,K04000001,8.2
2009.0,England and Wales,,25 to 29,,,K04000001,10.9
2009.0,England and Wales,,30 to 34,,,K04000001,10
2009.0,England and Wales,,35 to 39,,,K04000001,13.9
2009.0,England and Wales,,40 to 44,,,K04000001,14.2
2009.0,England and Wales,,45 to 49,,,K04000001,13.4
2009.0,England and Wales,,50 to 54,,,K04000001,12.7
2009.0,England and Wales,,55 to 59,,,K04000001,11.8
2009.0,England and Wales,,60 to 64,,,K04000001,8.7
2009.0,England and Wales,,65 to 69,,,K04000001,7.4
2009.0,England and Wales,,70 to 74,,,K04000001,6.8
2009.0,England and Wales,,75 to 79,,,K04000001,7.8
2009.0,England and Wales,,80 to 84,,,K04000001,9.4
2009.0,England and Wales,,85 to 89,,,K04000001,9.2
2009.0,England and Wales,,90 and over,,,K04000001,9.1
2009.0,England and Wales,,15 to 19,Male,,K04000001,5.5
2009.0,England and Wales,,20 to 24,Male,,K04000001,13.1
2009.0,England and Wales,,25 to 29,Male,,K04000001,17
2009.0,England and Wales,,30 to 34,Male,,K04000001,16.4
2009.0,England and Wales,,35 to 39,Male,,K04000001,22.5
2009.0,England and Wales,,40 to 44,Male,,K04000001,22.5
2009.0,England and Wales,,45 to 49,Male,,K04000001,20.4
2009.0,England and Wales,,50 to 54,Male,,K04000001,20.1
2009.0,England and Wales,,55 to 59,Male,,K04000001,17.5
2009.0,England and Wales,,60 to 64,Male,,K04000001,12.3
2009.0,England and Wales,,65 to 69,Male,,K04000001,10.7
2009.0,England and Wales,,70 to 74,Male,,K04000001,10.5
2009.0,England and Wales,,75 to 79,Male,,K04000001,12.2
2009.0,England and Wales,,80 to 84,Male,,K04000001,15.3
2009.0,England and Wales,,85 to 89,Male,,K04000001,17.4
2009.0,England and Wales,,90 and over,Male,,K04000001,15.9
2009.0,England and Wales,,15 to 19,Female,,K04000001,1.9
2009.0,England and Wales,,20 to 24,Female,,K04000001,3.3
2009.0,England and Wales,,25 to 29,Female,,K04000001,4.9
2009.0,England and Wales,,30 to 34,Female,,K04000001,3.6
2009.0,England and Wales,,35 to 39,Female,,K04000001,5.4
2009.0,England and Wales,,40 to 44,Female,,K04000001,6
2009.0,England and Wales,,45 to 49,Female,,K04000001,6.5
2009.0,England and Wales,,50 to 54,Female,,K04000001,5.4
2009.0,England and Wales,,55 to 59,Female,,K04000001,6.3
2009.0,England and Wales,,60 to 64,Female,,K04000001,5.3
2009.0,England and Wales,,65 to 69,Female,,K04000001,4.3
2009.0,England and Wales,,70 to 74,Female,,K04000001,3.6
2009.0,England and Wales,,75 to 79,Female,,K04000001,4.3
2009.0,England and Wales,,80 to 84,Female,,K04000001,5.3
2009.0,England and Wales,,85 to 89,Female,,K04000001,5
2009.0,England and Wales,,90 and over,Female,,K04000001,6.7
2009.0,England,,15 to 19,,,E92000001,3.6
2009.0,England,,20 to 24,,,E92000001,8
2009.0,England,,25 to 29,,,E92000001,10.8
2009.0,England,,30 to 34,,,E92000001,10
2009.0,England,,35 to 39,,,E92000001,13.7
2009.0,England,,40 to 44,,,E92000001,14
2009.0,England,,45 to 49,,,E92000001,13.3
2009.0,England,,50 to 54,,,E92000001,12.6
2009.0,England,,55 to 59,,,E92000001,12.2
2009.0,England,,60 to 64,,,E92000001,8.8
2009.0,England,,65 to 69,,,E92000001,7.2
2009.0,England,,70 to 74,,,E92000001,6.6
2009.0,England,,75 to 79,,,E92000001,7.9
2009.0,England,,80 to 84,,,E92000001,9.4
2009.0,England,,85 to 89,,,E92000001,9
2009.0,England,,90 and over,,,E92000001,9.4
2009.0,England,,15 to 19,Male,,E92000001,5.2
2009.0,England,,20 to 24,Male,,E92000001,12.8
2009.0,England,,25 to 29,Male,,E92000001,16.7
2009.0,England,,30 to 34,Male,,E92000001,16.5
2009.0,England,,35 to 39,Male,,E92000001,22.2
2009.0,England,,40 to 44,Male,,E92000001,22.2
2009.0,England,,45 to 49,Male,,E92000001,20.2
2009.0,England,,50 to 54,Male,,E92000001,19.8
2009.0,England,,55 to 59,Male,,E92000001,18
2009.0,England,,60 to 64,Male,,E92000001,12.6
2009.0,England,,65 to 69,Male,,E92000001,10.3
2009.0,England,,70 to 74,Male,,E92000001,10.3
2009.0,England,,75 to 79,Male,,E92000001,12.3
2009.0,England,,80 to 84,Male,,E92000001,15.5
2009.0,England,,85 to 89,Male,,E92000001,16.3
2009.0,England,,90 and over,Male,,E92000001,16.8
2009.0,England,,15 to 19,Female,,E92000001,2
2009.0,England,,20 to 24,Female,,E92000001,3.2
2009.0,England,,25 to 29,Female,,E92000001,5
2009.0,England,,30 to 34,Female,,E92000001,3.5
2009.0,England,,35 to 39,Female,,E92000001,5.4
2009.0,England,,40 to 44,Female,,E92000001,5.8
2009.0,England,,45 to 49,Female,,E92000001,6.6
2009.0,England,,50 to 54,Female,,E92000001,5.5
2009.0,England,,55 to 59,Female,,E92000001,6.5
2009.0,England,,60 to 64,Female,,E92000001,5.2
2009.0,England,,65 to 69,Female,,E92000001,4.4
2009.0,England,,70 to 74,Female,,E92000001,3.3
2009.0,England,,75 to 79,Female,,E92000001,4.3
2009.0,England,,80 to 84,Female,,E92000001,5.2
2009.0,England,,85 to 89,Female,,E92000001,5.3
2009.0,England,,90 and over,Female,,E92000001,6.8
2009.0,Wales,,15 to 19,,,W92000004,4.5
2009.0,Wales,,20 to 24,,,W92000004,9.8
2009.0,Wales,,25 to 29,,,W92000004,10.8
2009.0,Wales,,30 to 34,,,W92000004,9
2009.0,Wales,,35 to 39,,,W92000004,15.3
2009.0,Wales,,40 to 44,,,W92000004,17.4
2009.0,Wales,,45 to 49,,,W92000004,14.4
2009.0,Wales,,50 to 54,,,W92000004,13.5
2009.0,Wales,,55 to 59,,,W92000004,4.2
2009.0,Wales,,60 to 64,,,W92000004,7
2009.0,Wales,,65 to 69,,,W92000004,8.8
2009.0,Wales,,70 to 74,,,W92000004,9.1
2009.0,Wales,,75 to 79,,,W92000004,7.5
2009.0,Wales,,80 to 84,,,W92000004,7.7
2009.0,Wales,,85 to 89,,,W92000004,12.1
2009.0,Wales,,15 to 19,Male,,W92000004,8.8
2009.0,Wales,,20 to 24,Male,,W92000004,16.4
2009.0,Wales,,25 to 29,Male,,W92000004,20.4
2009.0,Wales,,30 to 34,Male,,W92000004,13.2
2009.0,Wales,,35 to 39,Male,,W92000004,23.9
2009.0,Wales,,40 to 44,Male,,W92000004,27.1
2009.0,Wales,,45 to 49,Male,,W92000004,23.6
2009.0,Wales,,50 to 54,Male,,W92000004,24.2
2009.0,Wales,,55 to 59,Male,,W92000004,6.4
2009.0,Wales,,60 to 64,Male,,W92000004,8.1
2009.0,Wales,,65 to 69,Male,,W92000004,14.2
2009.0,Wales,,70 to 74,Male,,W92000004,9.5
2009.0,Wales,,75 to 79,Male,,W92000004,10.5
2009.0,Wales,,80 to 84,Male,,W92000004,9.5
2009.0,Wales,,85 to 89,Male,,W92000004,36
2009.0,Wales,,20 to 24,Female,,W92000004,3
2009.0,Wales,,30 to 34,Female,,W92000004,4.8
2009.0,Wales,,35 to 39,Female,,W92000004,7
2009.0,Wales,,40 to 44,Female,,W92000004,8.1
2009.0,Wales,,45 to 49,Female,,W92000004,5.5
2009.0,Wales,,50 to 54,Female,,W92000004,3.1
2009.0,Wales,,60 to 64,Female,,W92000004,5.9
2009.0,Wales,,65 to 69,Female,,W92000004,3.7
2009.0,Wales,,70 to 74,Female,,W92000004,8.7
2009.0,Wales,,75 to 79,Female,,W92000004,5.1
2009.0,Wales,,80 to 84,Female,,W92000004,6.4
2010.0,,,,Male,,,15.8
2010.0,,,,Female,,,4.9
2010.0,England and Wales,,,,,K04000001,9.3
2010.0,England and Wales,,,Male,,K04000001,14.4
2010.0,England and Wales,,,Female,,K04000001,4.5
2010.0,England,,,,,E92000001,9.1
2010.0,England,,,Male,,E92000001,14.2
2010.0,England,,,Female,,E92000001,4.4
2010.0,Wales,,,,,W92000004,10.8
2010.0,Wales,,,Male,,W92000004,17.6
2010.0,Wales,,,Female,,W92000004,4.5
2010.0,Scotland,,,,,S92000003,16.4
2010.0,Scotland,,,Male,,S92000003,25.2
2010.0,Scotland,,,Female,,S92000003,8.2
2010.0,Northern Ireland,,,,,N92000002,19.3
2010.0,Northern Ireland,,,Male,,N92000002,30.9
2010.0,Northern Ireland,,,Female,,N92000002,8.8
2010.0,England,North East,,,,E12000001,10.3
2010.0,England,North West,,,,E12000002,10.1
2010.0,England,Yorkshire and The Humber,,,,E12000003,8.3
2010.0,England,East Midlands,,,,E12000004,8.1
2010.0,England,West Midlands,,,,E12000005,9.4
2010.0,England,East of England,,,,E12000006,8.8
2010.0,England,London,,,,E12000007,8.4
2010.0,England,South East,,,,E12000008,9.1
2010.0,England,South West,,,,E12000009,10.7
2010.0,England,North East,,Male,,E12000001,15.5
2010.0,England,North West,,Male,,E12000002,16.1
2010.0,England,Yorkshire and The Humber,,Male,,E12000003,12.6
2010.0,England,East Midlands,,Male,,E12000004,12.4
2010.0,England,West Midlands,,Male,,E12000005,14.3
2010.0,England,East of England,,Male,,E12000006,14.3
2010.0,England,London,,Male,,E12000007,13.4
2010.0,England,South East,,Male,,E12000008,13.8
2010.0,England,South West,,Male,,E12000009,16.6
2010.0,England,North East,,Female,,E12000001,5.4
2010.0,England,North West,,Female,,E12000002,4.4
2010.0,England,Yorkshire and The Humber,,Female,,E12000003,4
2010.0,England,East Midlands,,Female,,E12000004,4.1
2010.0,England,West Midlands,,Female,,E12000005,4.7
2010.0,England,East of England,,Female,,E12000006,3.6
2010.0,England,London,,Female,,E12000007,3.9
2010.0,England,South East,,Female,,E12000008,4.7
2010.0,England,South West,,Female,,E12000009,5.4
2010.0,,,10 to 14,,,,0.1
2010.0,,,15 to 19,,,,4.1
2010.0,,,20 to 24,,,,10.2
2010.0,,,25 to 29,,,,9.5
2010.0,,,30 to 34,,,,11.8
2010.0,,,35 to 39,,,,13.6
2010.0,,,40 to 44,,,,14.9
2010.0,,,45 to 49,,,,14.3
2010.0,,,50 to 54,,,,13.9
2010.0,,,55 to 59,,,,12.5
2010.0,,,60 to 64,,,,10.1
2010.0,,,65 to 69,,,,7.1
2010.0,,,70 to 74,,,,7.5
2010.0,,,75 to 79,,,,7.7
2010.0,,,80 to 84,,,,9.3
2010.0,,,85 and over,,,,8.9
2010.0,,,15 to 19,Male,,,5.5
2010.0,,,20 to 24,Male,,,15.8
2010.0,,,25 to 29,Male,,,15.1
2010.0,,,30 to 34,Male,,,18.8
2010.0,,,35 to 39,Male,,,21.1
2010.0,,,40 to 44,Male,,,23.8
2010.0,,,45 to 49,Male,,,21.8
2010.0,,,50 to 54,Male,,,20.6
2010.0,,,55 to 59,Male,,,19.2
2010.0,,,60 to 64,Male,,,15
2010.0,,,65 to 69,Male,,,9.9
2010.0,,,70 to 74,Male,,,11.3
2010.0,,,75 to 79,Male,,,11.8
2010.0,,,80 to 84,Male,,,16.6
2010.0,,,85 and over,Male,,,19.1
2010.0,,,10 to 14,Female,,,0.2
2010.0,,,15 to 19,Female,,,2.7
2010.0,,,20 to 24,Female,,,4.5
2010.0,,,25 to 29,Female,,,4
2010.0,,,30 to 34,Female,,,4.8
2010.0,,,35 to 39,Female,,,6.2
2010.0,,,40 to 44,Female,,,6.2
2010.0,,,45 to 49,Female,,,6.9
2010.0,,,50 to 54,Female,,,7.3
2010.0,,,55 to 59,Female,,,6
2010.0,,,60 to 64,Female,,,5.4
2010.0,,,65 to 69,Female,,,4.5
2010.0,,,70 to 74,Female,,,4.1
2010.0,,,75 to 79,Female,,,4.3
2010.0,,,80 to 84,Female,,,4.3
2010.0,,,85 and over,Female,,,4.1
2010.0,England and Wales,,15 to 19,,,K04000001,3.1
2010.0,England and Wales,,20 to 24,,,K04000001,8.6
2010.0,England and Wales,,25 to 29,,,K04000001,8.2
2010.0,England and Wales,,30 to 34,,,K04000001,10.2
2010.0,England and Wales,,35 to 39,,,K04000001,12.6
2010.0,England and Wales,,40 to 44,,,K04000001,13.3
2010.0,England and Wales,,45 to 49,,,K04000001,12.7
2010.0,England and Wales,,50 to 54,,,K04000001,12.7
2010.0,England and Wales,,55 to 59,,,K04000001,12
2010.0,England and Wales,,60 to 64,,,K04000001,9.8
2010.0,England and Wales,,65 to 69,,,K04000001,6.9
2010.0,England and Wales,,70 to 74,,,K04000001,7.1
2010.0,England and Wales,,75 to 79,,,K04000001,7.6
2010.0,England and Wales,,80 to 84,,,K04000001,9.2
2010.0,England and Wales,,85 to 89,,,K04000001,8.1
2010.0,England and Wales,,90 and over,,,K04000001,10.5
2010.0,England and Wales,,15 to 19,Male,,K04000001,4.1
2010.0,England and Wales,,20 to 24,Male,,K04000001,13.4
2010.0,England and Wales,,25 to 29,Male,,K04000001,13.1
2010.0,England and Wales,,30 to 34,Male,,K04000001,16.3
2010.0,England and Wales,,35 to 39,Male,,K04000001,19.4
2010.0,England and Wales,,40 to 44,Male,,K04000001,21.4
2010.0,England and Wales,,45 to 49,Male,,K04000001,19.5
2010.0,England and Wales,,50 to 54,Male,,K04000001,18.8
2010.0,England and Wales,,55 to 59,Male,,K04000001,18.6
2010.0,England and Wales,,60 to 64,Male,,K04000001,14.5
2010.0,England and Wales,,65 to 69,Male,,K04000001,9.6
2010.0,England and Wales,,70 to 74,Male,,K04000001,10.5
2010.0,England and Wales,,75 to 79,Male,,K04000001,11.7
2010.0,England and Wales,,80 to 84,Male,,K04000001,16.4
2010.0,England and Wales,,85 to 89,Male,,K04000001,15.3
2010.0,England and Wales,,90 and over,Male,,K04000001,27.3
2010.0,England and Wales,,15 to 19,Female,,K04000001,2.1
2010.0,England and Wales,,20 to 24,Female,,K04000001,3.8
2010.0,England and Wales,,25 to 29,Female,,K04000001,3.2
2010.0,England and Wales,,30 to 34,Female,,K04000001,4.1
2010.0,England and Wales,,35 to 39,Female,,K04000001,5.9
2010.0,England and Wales,,40 to 44,Female,,K04000001,5.4
2010.0,England and Wales,,45 to 49,Female,,K04000001,6.2
2010.0,England and Wales,,50 to 54,Female,,K04000001,6.7
2010.0,England and Wales,,55 to 59,Female,,K04000001,5.5
2010.0,England and Wales,,60 to 64,Female,,K04000001,5.2
2010.0,England and Wales,,65 to 69,Female,,K04000001,4.4
2010.0,England and Wales,,70 to 74,Female,,K04000001,4.1
2010.0,England and Wales,,75 to 79,Female,,K04000001,4.2
2010.0,England and Wales,,80 to 84,Female,,K04000001,4.2
2010.0,England and Wales,,85 to 89,Female,,K04000001,4.3
2010.0,England and Wales,,90 and over,Female,,K04000001,4.3
2010.0,England,,15 to 19,,,E92000001,3.2
2010.0,England,,20 to 24,,,E92000001,8.4
2010.0,England,,25 to 29,,,E92000001,8.1
2010.0,England,,30 to 34,,,E92000001,9.9
2010.0,England,,35 to 39,,,E92000001,12.4
2010.0,England,,40 to 44,,,E92000001,13.2
2010.0,England,,45 to 49,,,E92000001,12.3
2010.0,England,,50 to 54,,,E92000001,12.7
2010.0,England,,55 to 59,,,E92000001,11.7
2010.0,England,,60 to 64,,,E92000001,9.9
2010.0,England,,65 to 69,,,E92000001,7
2010.0,England,,70 to 74,,,E92000001,7.1
2010.0,England,,75 to 79,,,E92000001,7.5
2010.0,England,,80 to 84,,,E92000001,8.8
2010.0,England,,85 to 89,,,E92000001,7.4
2010.0,England,,90 and over,,,E92000001,10.6
2010.0,England,,15 to 19,Male,,E92000001,4.2
2010.0,England,,20 to 24,Male,,E92000001,12.9
2010.0,England,,25 to 29,Male,,E92000001,13.1
2010.0,England,,30 to 34,Male,,E92000001,15.7
2010.0,England,,35 to 39,Male,,E92000001,18.8
2010.0,England,,40 to 44,Male,,E92000001,21.2
2010.0,England,,45 to 49,Male,,E92000001,18.6
2010.0,England,,50 to 54,Male,,E92000001,18.7
2010.0,England,,55 to 59,Male,,E92000001,18.1
2010.0,England,,60 to 64,Male,,E92000001,14.6
2010.0,England,,65 to 69,Male,,E92000001,9.8
2010.0,England,,70 to 74,Male,,E92000001,10.6
2010.0,England,,75 to 79,Male,,E92000001,11.6
2010.0,England,,80 to 84,Male,,E92000001,15.7
2010.0,England,,85 to 89,Male,,E92000001,14.4
2010.0,England,,90 and over,Male,,E92000001,27.1
2010.0,England,,15 to 19,Female,,E92000001,2.1
2010.0,England,,20 to 24,Female,,E92000001,3.8
2010.0,England,,25 to 29,Female,,E92000001,3
2010.0,England,,30 to 34,Female,,E92000001,4.2
2010.0,England,,35 to 39,Female,,E92000001,6
2010.0,England,,40 to 44,Female,,E92000001,5.4
2010.0,England,,45 to 49,Female,,E92000001,6.1
2010.0,England,,50 to 54,Female,,E92000001,6.6
2010.0,England,,55 to 59,Female,,E92000001,5.4
2010.0,England,,60 to 64,Female,,E92000001,5.3
2010.0,England,,65 to 69,Female,,E92000001,4.4
2010.0,England,,70 to 74,Female,,E92000001,3.9
2010.0,England,,75 to 79,Female,,E92000001,4.2
2010.0,England,,80 to 84,Female,,E92000001,4
2010.0,England,,85 to 89,Female,,E92000001,3.7
2010.0,England,,90 and over,Female,,E92000001,4.6
2010.0,Wales,,15 to 19,,,W92000004,2
2010.0,Wales,,20 to 24,,,W92000004,9.7
2010.0,Wales,,25 to 29,,,W92000004,7.6
2010.0,Wales,,30 to 34,,,W92000004,14.6
2010.0,Wales,,35 to 39,,,W92000004,14.2
2010.0,Wales,,40 to 44,,,W92000004,15
2010.0,Wales,,45 to 49,,,W92000004,18.2
2010.0,Wales,,50 to 54,,,W92000004,14.2
2010.0,Wales,,55 to 59,,,W92000004,14.9
2010.0,Wales,,60 to 64,,,W92000004,8.4
2010.0,Wales,,65 to 69,,,W92000004,6.1
2010.0,Wales,,70 to 74,,,W92000004,7.5
2010.0,Wales,,75 to 79,,,W92000004,8.4
2010.0,Wales,,80 to 84,,,W92000004,16.5
2010.0,Wales,,85 to 89,,,W92000004,18.2
2010.0,Wales,,15 to 19,Male,,W92000004,2.9
2010.0,Wales,,20 to 24,Male,,W92000004,17
2010.0,Wales,,25 to 29,Male,,W92000004,11.8
2010.0,Wales,,30 to 34,Male,,W92000004,27
2010.0,Wales,,35 to 39,Male,,W92000004,24.6
2010.0,Wales,,40 to 44,Male,,W92000004,24.8
2010.0,Wales,,45 to 49,Male,,W92000004,31.5
2010.0,Wales,,50 to 54,Male,,W92000004,20.6
2010.0,Wales,,55 to 59,Male,,W92000004,22.8
2010.0,Wales,,60 to 64,Male,,W92000004,13
2010.0,Wales,,65 to 69,Male,,W92000004,7.5
2010.0,Wales,,70 to 74,Male,,W92000004,7.8
2010.0,Wales,,75 to 79,Male,,W92000004,12.3
2010.0,Wales,,80 to 84,Male,,W92000004,27.7
2010.0,Wales,,85 to 89,Male,,W92000004,29.5
2010.0,Wales,,25 to 29,Female,,W92000004,3.3
2010.0,Wales,,35 to 39,Female,,W92000004,4.2
2010.0,Wales,,40 to 44,Female,,W92000004,5.5
2010.0,Wales,,45 to 49,Female,,W92000004,5.4
2010.0,Wales,,50 to 54,Female,,W92000004,8
2010.0,Wales,,55 to 59,Female,,W92000004,7.3
2010.0,Wales,,60 to 64,Female,,W92000004,3.9
2010.0,Wales,,65 to 69,Female,,W92000004,4.8
2010.0,Wales,,70 to 74,Female,,W92000004,7.2
2010.0,Wales,,75 to 79,Female,,W92000004,5.1
2010.0,Wales,,80 to 84,Female,,W92000004,8.6
2010.0,Wales,,85 to 89,Female,,W92000004,12.3
2011.0,,,,Male,,,16.8
2011.0,,,,Female,,,5.3
2011.0,England and Wales,,,,,K04000001,9.9
2011.0,England and Wales,,,Male,,K04000001,15.4
2011.0,England and Wales,,,Female,,K04000001,4.7
2011.0,England,,,,,E92000001,9.7
2011.0,England,,,Male,,E92000001,15.1
2011.0,England,,,Female,,E92000001,4.6
2011.0,Wales,,,,,W92000004,12.6
2011.0,Wales,,,Male,,W92000004,20.3
2011.0,Wales,,,Female,,W92000004,5.1
2011.0,Scotland,,,,,S92000003,18.6
2011.0,Scotland,,,Male,,S92000003,27.6
2011.0,Scotland,,,Female,,S92000003,10.2
2011.0,Northern Ireland,,,,,N92000002,17.8
2011.0,Northern Ireland,,,Male,,N92000002,27.2
2011.0,Northern Ireland,,,Female,,N92000002,8.9
2011.0,England,North East,,,,E12000001,11.9
2011.0,England,North West,,,,E12000002,10.9
2011.0,England,Yorkshire and The Humber,,,,E12000003,10
2011.0,England,East Midlands,,,,E12000004,9.2
2011.0,England,West Midlands,,,,E12000005,8.9
2011.0,England,East of England,,,,E12000006,9.4
2011.0,England,London,,,,E12000007,8.4
2011.0,England,South East,,,,E12000008,9.6
2011.0,England,South West,,,,E12000009,11
2011.0,England,North East,,Male,,E12000001,19.6
2011.0,England,North West,,Male,,E12000002,17.4
2011.0,England,Yorkshire and The Humber,,Male,,E12000003,15.9
2011.0,England,East Midlands,,Male,,E12000004,14.5
2011.0,England,West Midlands,,Male,,E12000005,13.8
2011.0,England,East of England,,Male,,E12000006,14.5
2011.0,England,London,,Male,,E12000007,12.4
2011.0,England,South East,,Male,,E12000008,14.5
2011.0,England,South West,,Male,,E12000009,17.2
2011.0,England,North East,,Female,,E12000001,4.6
2011.0,England,North West,,Female,,E12000002,4.6
2011.0,England,Yorkshire and The Humber,,Female,,E12000003,4.4
2011.0,England,East Midlands,,Female,,E12000004,4.1
2011.0,England,West Midlands,,Female,,E12000005,4.4
2011.0,England,East of England,,Female,,E12000006,4.5
2011.0,England,London,,Female,,E12000007,4.7
2011.0,England,South East,,Female,,E12000008,5.1
2011.0,England,South West,,Female,,E12000009,5.2
2011.0,,,10 to 14,,,,0.3
2011.0,,,15 to 19,,,,4.9
2011.0,,,20 to 24,,,,9.9
2011.0,,,25 to 29,,,,11.2
2011.0,,,30 to 34,,,,12.4
2011.0,,,35 to 39,,,,15.3
2011.0,,,40 to 44,,,,16.7
2011.0,,,45 to 49,,,,15.3
2011.0,,,50 to 54,,,,15.7
2011.0,,,55 to 59,,,,12.4
2011.0,,,60 to 64,,,,9.7
2011.0,,,65 to 69,,,,7.5
2011.0,,,70 to 74,,,,7.9
2011.0,,,75 to 79,,,,7.7
2011.0,,,80 to 84,,,,8.8
2011.0,,,85 and over,,,,9.1
2011.0,,,10 to 14,Male,,,0.4
2011.0,,,15 to 19,Male,,,6.6
2011.0,,,20 to 24,Male,,,15.4
2011.0,,,25 to 29,Male,,,17.4
2011.0,,,30 to 34,Male,,,19.2
2011.0,,,35 to 39,Male,,,24.1
2011.0,,,40 to 44,Male,,,26.8
2011.0,,,45 to 49,Male,,,23.9
2011.0,,,50 to 54,Male,,,23.8
2011.0,,,55 to 59,Male,,,17.8
2011.0,,,60 to 64,Male,,,14.4
2011.0,,,65 to 69,Male,,,10.9
2011.0,,,70 to 74,Male,,,12.2
2011.0,,,75 to 79,Male,,,12.2
2011.0,,,80 to 84,Male,,,13.9
2011.0,,,85 and over,Male,,,17.1
2011.0,,,10 to 14,Female,,,0.2
2011.0,,,15 to 19,Female,,,3.1
2011.0,,,20 to 24,Female,,,4.3
2011.0,,,25 to 29,Female,,,4.9
2011.0,,,30 to 34,Female,,,5.7
2011.0,,,35 to 39,Female,,,6.7
2011.0,,,40 to 44,Female,,,6.8
2011.0,,,45 to 49,Female,,,7
2011.0,,,50 to 54,Female,,,7.7
2011.0,,,55 to 59,Female,,,7.1
2011.0,,,60 to 64,Female,,,5.1
2011.0,,,65 to 69,Female,,,4.4
2011.0,,,70 to 74,Female,,,4.1
2011.0,,,75 to 79,Female,,,4
2011.0,,,80 to 84,Female,,,5.3
2011.0,,,85 and over,Female,,,5.3
2011.0,England and Wales,,10 to 14,,,K04000001,0.3
2011.0,England and Wales,,15 to 19,,,K04000001,4
2011.0,England and Wales,,20 to 24,,,K04000001,8.6
2011.0,England and Wales,,25 to 29,,,K04000001,9.3
2011.0,England and Wales,,30 to 34,,,K04000001,10.3
2011.0,England and Wales,,35 to 39,,,K04000001,13.1
2011.0,England and Wales,,40 to 44,,,K04000001,15.4
2011.0,England and Wales,,45 to 49,,,K04000001,14.3
2011.0,England and Wales,,50 to 54,,,K04000001,15
2011.0,England and Wales,,55 to 59,,,K04000001,11.7
2011.0,England and Wales,,60 to 64,,,K04000001,9.2
2011.0,England and Wales,,65 to 69,,,K04000001,7.2
2011.0,England and Wales,,70 to 74,,,K04000001,7.9
2011.0,England and Wales,,75 to 79,,,K04000001,7.4
2011.0,England and Wales,,80 to 84,,,K04000001,9
2011.0,England and Wales,,85 to 89,,,K04000001,9.8
2011.0,England and Wales,,90 and over,,,K04000001,8.4
2011.0,England and Wales,,10 to 14,Male,,K04000001,0.3
2011.0,England and Wales,,15 to 19,Male,,K04000001,5.6
2011.0,England and Wales,,20 to 24,Male,,K04000001,13.2
2011.0,England and Wales,,25 to 29,Male,,K04000001,14.5
2011.0,England and Wales,,30 to 34,Male,,K04000001,16
2011.0,England and Wales,,35 to 39,Male,,K04000001,20.9
2011.0,England and Wales,,40 to 44,Male,,K04000001,25.2
2011.0,England and Wales,,45 to 49,Male,,K04000001,22.5
2011.0,England and Wales,,50 to 54,Male,,K04000001,23
2011.0,England and Wales,,55 to 59,Male,,K04000001,16.9
2011.0,England and Wales,,60 to 64,Male,,K04000001,13.8
2011.0,England and Wales,,65 to 69,Male,,K04000001,10.6
2011.0,England and Wales,,70 to 74,Male,,K04000001,12.3
2011.0,England and Wales,,75 to 79,Male,,K04000001,11.7
2011.0,England and Wales,,80 to 84,Male,,K04000001,14
2011.0,England and Wales,,85 to 89,Male,,K04000001,15.9
2011.0,England and Wales,,90 and over,Male,,K04000001,19.4
2011.0,England and Wales,,10 to 14,Female,,K04000001,0.3
2011.0,England and Wales,,15 to 19,Female,,K04000001,2.4
2011.0,England and Wales,,20 to 24,Female,,K04000001,3.8
2011.0,England and Wales,,25 to 29,Female,,K04000001,4.2
2011.0,England and Wales,,30 to 34,Female,,K04000001,4.5
2011.0,England and Wales,,35 to 39,Female,,K04000001,5.4
2011.0,England and Wales,,40 to 44,Female,,K04000001,5.7
2011.0,England and Wales,,45 to 49,Female,,K04000001,6.2
2011.0,England and Wales,,50 to 54,Female,,K04000001,7.1
2011.0,England and Wales,,55 to 59,Female,,K04000001,6.6
2011.0,England and Wales,,60 to 64,Female,,K04000001,4.7
2011.0,England and Wales,,65 to 69,Female,,K04000001,3.9
2011.0,England and Wales,,70 to 74,Female,,K04000001,4
2011.0,England and Wales,,75 to 79,Female,,K04000001,3.8
2011.0,England and Wales,,80 to 84,Female,,K04000001,5.5
2011.0,England and Wales,,85 to 89,Female,,K04000001,6.4
2011.0,England and Wales,,90 and over,Female,,K04000001,4.3
2011.0,England,,10 to 14,,,E92000001,0.3
2011.0,England,,15 to 19,,,E92000001,3.7
2011.0,England,,20 to 24,,,E92000001,8.3
2011.0,England,,25 to 29,,,E92000001,9
2011.0,England,,30 to 34,,,E92000001,10.1
2011.0,England,,35 to 39,,,E92000001,12.9
2011.0,England,,40 to 44,,,E92000001,14.7
2011.0,England,,45 to 49,,,E92000001,14.1
2011.0,England,,50 to 54,,,E92000001,14.8
2011.0,England,,55 to 59,,,E92000001,11.5
2011.0,England,,60 to 64,,,E92000001,8.9
2011.0,England,,65 to 69,,,E92000001,7.2
2011.0,England,,70 to 74,,,E92000001,7.8
2011.0,England,,75 to 79,,,E92000001,7.6
2011.0,England,,80 to 84,,,E92000001,8.5
2011.0,England,,85 to 89,,,E92000001,10.1
2011.0,England,,90 and over,,,E92000001,8.9
